name,city,operator_name,regulation_id,reg_plain,count,max_severity,beds
Merrill Gardens at Gilroy,Gilroy,"Mg at Gilroy, Lp ; Shi-iv Merrill Gp, Llc ; Merril",87468.1(a)(3),87468.1(a)(3),3,3,214.0
,,,87309(a),Personnel Records — General,3,3,
,,,87468.1(a)(2),Residents' Rights — Dignity & Respect,3,3,
Bonita Villa Senior Living,Chula Vista,Pacfica Sl Ca Llc;pacifica Bonita Lp; Bonita Mgr,87468.2(a)(4),Residents' Rights — Personal Privacy,3,3,145.0
Regency Palms Long Beach,Long Beach,"Global Regency Snr Care Svcs,llc",87506(a),Admission Agreement Requirements,3,3,91.0
,,,87309(a),Personnel Records — General,3,3,
Lincoln Villa,Fremont,"Lincoln Retirement Villa, Llc",87309(a),Personnel Records — General,3,3,76.0
Lincoln Villa,Fremont,"Lincoln Retirement Villa, Llc",87465(h)(2),Medications — Self-Administration,3,3,76.0
Golden Pond Retirement Community,Sacramento,"Walgenbach, Brian & Gill, Doug",87465(a)(1),87465(a)(1),3,3,175.0
,,,87303(e)(2),Maintenance — Broken/Unsafe Equipment,3,3,
,,,87309(a),Personnel Records — General,3,3,
Merisol Care,Fremont,"Mari, Antonia",87465(h)(2),Medications — Self-Administration,3,3,6.0
California Mentor-marineview Home,San Leandro,"National Mentor Healthcare, Llc",87303(e)(2),Maintenance — Broken/Unsafe Equipment,3,3,4.0
,,,87608(a)(3),Dementia Care — Structured Activities,3,3,
Graces Home,Anaheim,Ngoc Mai,87307(d)(6),87307(d)(6),3,3,6.0
"Cottages at Artesia Anaheim, the",Anaheim,"Cottages at Artesia Llc, the",87464(f)(1),Residents' Rights — Grievance Procedure,3,3,38.0
Hrs Care Home,Livermore,"De Luna, Diosdado",87309(a),Personnel Records — General,3,3,6.0
Elle's Home,Hayward,Elle's Home Llc,87309(a),Personnel Records — General,3,3,6.0
"Above & Beyond Rcfe, Inc.",Hayward,"Above & Beyond Rcfe, Inc.",87303(e)(2),Maintenance — Broken/Unsafe Equipment,3,3,6.0
Ivy Park at Hayward,Hayward,Hayward Sr. Hsng. I Opco Llc;oakmont Mgmt Grp Llc,87303(a),General Facility Maintenance,3,3,170.0
Silverado Senior Living-sierra Vista,Azusa,Silverado Sierra Vista Llc; Silverado Sr Lvng Mgmt,87309(a),Personnel Records — General,3,3,87.0
Bluegarden Care,San Ramon,Bluegarden Care Llc,87309(a),Personnel Records — General,3,3,6.0
Bluegarden Care,San Ramon,Bluegarden Care Llc,87705(f)(1),Dementia Care — Environment Safety,3,3,6.0
,,,87303(e)(2),Maintenance — Broken/Unsafe Equipment,3,3,
,,,87506(a),Admission Agreement Requirements,3,3,
St. Lourdes Home,Hayward,"Balintona, Justino G.",87465(e),87465(e),3,3,6.0
,,,87411(a),Staff — Direct Care Hours / Staffing Ratio,3,3,
,,,87309(a),Personnel Records — General,3,3,
,,,87309(a)(1),87309(a)(1),3,3,
"Bethany Home Senior Living, Llc",Livermore,"Bethany Homes Senior Living, Llc",87465(c)(2),Medications — Controlled Substances,3,3,58.0
,,,87202(a)(2),87202(a)(2),3,3,
,,,87463(a),Resident Appraisal — Initial Assessment,3,3,
A & P Care Home for Seniors,Fremont,"A & P Joint Ventures, Inc.",87309(a),Personnel Records — General,3,3,6.0
Mori Manor,San Leandro,"Mori Manor, Llc",87309(a),Personnel Records — General,3,3,14.0
Mori Manor,San Leandro,"Mori Manor, Llc",87465(h)(2),Medications — Self-Administration,3,3,14.0
Avantgarde Senior Living of Tarzana,Tarzana,Avantgarde Senior Living,87211(a)(2),87211(a)(2),3,3,138.0
,,,87309(a),Personnel Records — General,3,3,
"Roundhill Care Homes, Inc.",Alamo,"Roundhill Care Homes, Inc.",87465(h)(2),Medications — Self-Administration,3,3,6.0
"Roundhill Care Homes, Inc.",Alamo,"Roundhill Care Homes, Inc.",87705(e),87705(e),3,3,6.0
Silverado Senior Living - the Huntington,Alhambra,Subtenant 1118 N Stoneman; Silverado Sr Lvg Mgt,87303(e)(2),Maintenance — Broken/Unsafe Equipment,3,3,62.0
,,,87465(a)(4),Medications — Storage,3,3,
New Rivershore Care Home,Bay Point,"Balancio, Aurora",87705(f)(1),Dementia Care — Environment Safety,3,3,6.0
Aegis Living Corte Madera,Corte Madera,Bmsh Ii Corte Madera Ca; Aegis Senior Communities,87303(e)(2),Maintenance — Broken/Unsafe Equipment,3,3,150.0
Aegis Living Corte Madera,Corte Madera,Bmsh Ii Corte Madera Ca; Aegis Senior Communities,87705(b)(2),Dementia Care — Admission Criteria,3,3,150.0
Willow View Gardens Memory Care & Assisted Living,Santa Ana,All Health Holdings Corp,87464(f)(4),87464(f)(4),3,3,130.0
Grace Home Care - Lloyd,Livermore,Del Rosario-fajardo Corporation,87465(c)(2),Medications — Controlled Substances,3,3,6.0
,,,87411(f),Staff Training Records,3,3,
,,,87309(a),Personnel Records — General,3,3,
St. Therese Care Home Ii,Union City,St. Therese Hope Corp Dba St. Therese Care Home Ii,87705(f)(2),Dementia Care — Hazardous Items,3,3,6.0
Meadowbrook at Agoura Hills,Agoura Hills,"Arhc Mbaghca01 Trs; Slh Agoura Hills Manager, Llc",87411(a),Staff — Direct Care Hours / Staffing Ratio,3,3,185.0
Vista del Lago Memory Care,Escondido,"Del Dios Care, Llc;bayshire, Llc",87465(a)(1),87465(a)(1),3,3,96.0
,,,87303(e)(2),Maintenance — Broken/Unsafe Equipment,3,3,
,,,87465(c)(2),Medications — Controlled Substances,3,3,
,,,87555(b)(28),87555(b)(28),3,3,
