slug,name,city,recent_3y,total_inspections
peace-home-mn523,Peace Home,Minneapolis,1,2
peaceful-lodge-mn956,Peaceful Lodge,Oakdale,1,3
perham-living-northwinds-mn882,Perham Living Northwinds,Perham,1,2
pines-iii-assisted-living-mn106,Pines Iii Assisted Living,Duluth,1,1
pioneercare-memory-cottages-mn141,Pioneercare Memory Cottages,Fergus Falls,1,1
polar-ridge-senior-living-mn791,Polar Ridge Senior Living,North St. Paul,1,2
prairie-senior-cottages-of-new-mn734,Prairie Senior Cottages of New,New Ulm,1,2
prairie-senior-cottages-of-wil-mn102,Prairie Senior Cottages of Wil,Willmar,1,2
riverfront-on-main-mn363,Riverfront On Main,Pelican Rapids,1,2
rivers-of-life-mn2239,Rivers of Life,Eagan,1,1
rivervillage-east-mn169,Rivervillage East,Minneapolis,1,2
roitenberg-family-assisted-liv-mn149,Roitenberg Family Assisted Liv,St. Louis Park,1,1
rushseba-station-assisted-livi-mn1473,Rushseba Station Assisted Livi,Rush City,1,1
saint-therese-of-oxbow-lake-mn594,Saint Therese of Oxbow Lake,Brooklyn Park,1,2
savage-senior-living-mn817,Savage Senior Living,Savage,1,2
serenity-suites-senior-living-mn1029,Serenity Suites Senior Living,Wabasso,1,2
serenity-village-assisted-livi-mn914,Serenity Village Assisted Livi,Avon,1,2
shepherd-of-grace-llc-mn230,Shepherd of Grace Llc,Becker,1,2
sherburn-eda-operating-tempera-mn454,Sherburn Eda Operating Tempera,Sherburn,1,1
shoreview-senior-living-llc-mn373,Shoreview Senior Living Llc,Shoreview,1,2
shorewood-commons-mn98,Shorewood Commons,Rochester,1,2
silver-bay-carefree-living-by-mn322,Silver Bay Carefree Living by,Silver Bay,1,2
south-view-living-center-mn471,South View Living Center,Gibbon,1,2
southern-oaks-place-mn567,Southern Oaks Place,Blaine,1,2
st-scholastica-convent-mn475,St Scholastica Convent,St. Cloud,1,2
st-therese-of-woodbury-llc-mn864,St Therese of Woodbury Llc,Woodbury,1,1
suite-living-senior-care-of-ro-mn2310,Suite Living Senior Care of Ro,Rosemount,1,1
suite-living-senior-care-of-we-mn1935,Suite Living Senior Care of We,West St. Paul,1,2
summerwood-of-chanhassen-mn203,Summerwood of Chanhassen,Chanhassen,1,2
talamore-senior-living-woodbur-mn2026,Talamore Senior Living Woodbur,Woodbury,1,1
teman-homes-mn1148,Teman Homes,Minnetonka,1,2
the-beacon-at-lake-crystal-mn626,The Beacon at Lake Crystal,Lake Crystal,1,1
the-beacon-at-mapleton-mn627,The Beacon at Mapleton,Mapleton,1,2
the-brooks-on-st-paul-mn771,The Brooks On St Paul,Owatonna,1,1
the-fountains-at-hosanna-mn387,The Fountains at Hosanna,Lakeville,1,2
the-haven-at-peace-village-mn2214,The Haven at Peace Village,Norwood Youngamerica,1,1
the-legacy-mn869,The Legacy,Morris,1,2
the-pillars-of-lakeville-mn2058,The Pillars of Lakeville,Lakeville,1,1
the-pillars-of-mankato-mn1103,The Pillars of Mankato,Mankato,1,2
the-rivers-mn151,The Rivers,Burnsville,1,2
the-wealshire-of-bloomington-mn751,The Wealshire of Bloomington,Bloomington,1,2
timber-pines-assisted-living-mn2103,Timber Pines Assisted Living,Pine City,1,1
trillium-at-woodsedge-mn298,Trillium at Woodsedge,Bemidji,1,2
triple-angels-healthcare-mn1097,Triple Angels Healthcare,Cottage Grove,1,3
twin-town-villa-mn590,Twin Town Villa,Breckenridge,1,2
twin-valley-assisted-living-mn1284,Twin Valley Assisted Living,Twin Valley,1,2
valley-ridge-mn378,Valley Ridge,Burnsville,1,2
vermilion-senior-living-mn580,Vermilion Senior Living,Tower,1,2
vista-prairie-at-ridgeway-on-2-mn177,Vista Prairie at Ridgeway On 2,New Ulm,1,1
vista-prairie-at-ridgeway-on-g-mn89,Vista Prairie at Ridgeway On G,New Ulm,1,2
vitacare-living-mn636,Vitacare Living,Proctor,1,2
vitacare-living-mn692,Vitacare Living,Ogilvie,1,1
vitality-living-of-kimball-llc-mn1205,Vitality Living of Kimball Llc,Kimball,1,1
waverly-gardens-mn208,Waverly Gardens,North Oaks,1,2
waverly-senior-living-llc-mn565,Waverly Senior Living Llc,Le Sueur,1,2
wealshire-of-medina-mn989,Wealshire of Medina,Medina,1,2
wildwood-grove-mn694,Wildwood Grove,Leroy,1,1
willows-landing-senior-living-mn1798,Willows Landing Senior Living,Monticello,1,2
500-carlson-parkway-opco-llc-mn724,500 Carlson Parkway Opco Llc,Minnetonka,2,3
all-saints-senior-living-mn415,All Saints Senior Living,Shakopee,2,2
american-eagle-owatonna-mn765,American Eagle Owatonna,Owatonna,2,4
amira-choice-forest-lake-mn824,Amira Choice Forest Lake,Forest Lake,2,2
amira-choice-roseville-mn381,Amira Choice Roseville,Roseville,2,3
arbor-oaks-senior-living-mn405,Arbor Oaks Senior Living,Andover,2,3
ashby-living-center-mn961,Ashby Living Center,Ashby,2,3
aspen-grove-alternative-senior-mn1841,Aspen Grove Alternative Senior,Chisholm,2,3
aspen-grove-assisted-living-mn672,Aspen Grove Assisted Living,Chisholm,2,2
atlas-villas-memory-care-mn2105,Atlas Villas Memory Care,Centerville,2,2
auburn-courts-mn70,Auburn Courts,Chaska,2,2
auburn-meadows-llc-mn370,Auburn Meadows Llc,Waconia,2,2
autumn-grace-ii-mn194,Autumn Grace Ii,Mankato,2,2
autumn-lane-inc-mn190,Autumn Lane Inc,Cohasset,2,2
babbitt-carefree-living-by-oxf-mn389,Babbitt Carefree Living by Oxf,Babbitt,2,3
bay-harbor-senior-living-of-la-mn999,Bay Harbor Senior Living of La,La Crescent,2,3
beehive-homes-of-maple-grove-mn1215,Beehive Homes of Maple Grove,Maple Grove,2,3
bel-rae-senior-living-mn814,Bel Rae Senior Living,Mounds View,2,3
benedictine-asher-haus-mn1314,Benedictine Asher Haus,Cold Spring,2,3
bentson-family-asst-lvg-res-mn286,Bentson Family Asst Lvg Res,St. Paul,2,2
bethany-assisted-living-in-lit-mn191,Bethany Assisted Living in Lit,Litchfield,2,3
bethany-on-the-lake-llc-mn369,Bethany On the Lake Llc,Alexandria,2,2
birchview-gardens-assisted-liv-mn342,Birchview Gardens Assisted Liv,Hackensack,2,5
birchwood-cottages-mn1025,Birchwood Cottages,North Mankato,2,3
boutwells-landing-mn133,Boutwells Landing,Oak Park Heights,2,2
brookview-cottage-mn1399,Brookview Cottage,Eagan,2,2
caring-hearts-senior-community-mn291,Caring Hearts Senior Community,Pequot Lakes,2,3
cedar-ridge-place-mn785,Cedar Ridge Place,St. Louis Park,2,2
centennial-villa-mn269,Centennial Villa,Annandale,2,3
cerenity-care-center-marian-mn1389,Cerenity Care Center - Marian,St. Paul,2,3
chaska-heights-senior-living-mn877,Chaska Heights Senior Living,Chaska,2,3
cherrywood-big-lake-mn336,Cherrywood Big Lake,Big Lake,2,3
cherrywood-richmond-mn313,Cherrywood Richmond,Richmond,2,3
cherrywood-south-st-cloud-mn897,Cherrywood South St Cloud,St. Cloud,2,3
cherrywood-st-cloud-mn382,Cherrywood St Cloud,St. Cloud,2,2
clgv-assisted-living-memory-mn537,Clgv Assisted Living Memory,Golden Valley,2,3
clinique-healthcare-services-i-mn1256,Clinique Healthcare Services I,Brooklyn Park,2,2
colleens-caring-hands-inc-mn656,Colleens Caring Hands Inc,Bemidji,2,2
colony-court-mn547,Colony Court,Waseca,2,3
cook-carefree-living-by-oxford-mn302,Cook Carefree Living by Oxford,Cook,2,2
cornerstone-assisted-living-mn473,Cornerstone Assisted Living,Plymouth,2,2
cornerstone-residence-senior-c-mn737,Cornerstone Residence Senior C,Bagley,2,3
countryside-catered-senior-liv-mn613,Countryside Catered Senior Liv,Owatonna,2,3
diamond-willow-assisted-living-mn214,Diamond Willow Assisted Living,Cloquet,2,2
diamond-willow-assisted-living-mn361,Diamond Willow Assisted Living,Duluth,2,2
diamond-willow-assisted-living-mn220,Diamond Willow Assisted Living,Mountain Iron,2,3
eagan-pointe-senior-living-llc-mn822,Eagan Pointe Senior Living Llc,Eagan,2,3
ecumen-duluth-the-shores-mn575,Ecumen Duluth the Shores,Duluth,2,3
ecumen-sand-prairie-mn733,Ecumen Sand Prairie,St. Peter,2,2
ecumen-seasons-at-apple-valley-mn725,Ecumen Seasons at Apple Valley,Apple Valley,2,3
ecumen-worthington-the-meadows-mn1,Ecumen Worthington the Meadows,Worthington,2,3
edgewood-alexandria-senior-liv-mn704,Edgewood Alexandria Senior Liv,Alexandria,2,3
edgewood-blaine-llc-mn424,Edgewood Blaine Llc,Blaine,2,3
edgewood-may-creek-llc-mn726,Edgewood May Creek Llc,Walker,2,3
elderwood-of-hinckley-mn196,Elderwood of Hinckley,Hinckley,2,3
elk-river-senior-living-mn1056,Elk River Senior Living,Elk River,2,3
encore-at-mahtomedi-mn347,Encore at Mahtomedi,Mahtomedi,2,4
essence-care-center-mn1130,Essence Care Center,Rochester,2,2
eventide-the-linden-mn116,Eventide the Linden,Moorhead,2,2
fairway-pines-senior-living-mn391,Fairway Pines Senior Living,Sauk Centre,2,2
family-tree-care-homes-mn1010,Family Tree Care Homes,New Brighton,2,2
faribault-senior-living-mn742,Faribault Senior Living,Faribault,2,2
folkestone-mn429,Folkestone,Wayzata,2,2
founders-ridge-mn367,Founders Ridge,Bloomington,2,2
fremont-village-senior-living-mn1963,Fremont Village Senior Living,Zimmerman,2,2
gable-pines-at-vadnais-heights-mn867,Gable Pines at Vadnais Heights,Vadnais Heights,2,3
glenn-buffalo-mc-mn20,Glenn Buffalo Mc,Buffalo,2,2
golden-manor-corporation-mn207,Golden Manor Corporation,Detroit Lakes,2,2
goodneighbors-maplewood-manor-mn1486,Goodneighbors-maplewood Manor,Elbow Lake,2,3
gracepointe-crossing-mn729,Gracepointe Crossing,Cambridge,2,2
grand-arbor-mn752,Grand Arbor,Alexandria,2,2
happy-home-llc-mn238,Happy Home Llc,Eden Prairie,2,2
harmony-house-of-pierz-mn28,Harmony House of Pierz,Pierz,2,3
havenwood-of-minnetonka-mn1132,Havenwood of Minnetonka,Minnetonka,2,3
havenwood-of-richfield-mn1033,Havenwood of Richfield,Richfield,2,3
heart-to-home-inc-mn259,Heart to Home Inc,Mendota Heights,2,2
ingleside-mn459,Ingleside,Fairmont,2,3
johanna-shores-mn17,Johanna Shores,Arden Hills,2,2
lake-song-assisted-living-mn596,Lake Song Assisted Living,Onamia,2,3
laurels-edge-assisted-living-mn670,Laurels Edge Assisted Living,Mankato,2,3
lexington-landing-mn1630,Lexington Landing,St. Paul,2,2
lilac-homes-enh-as-liv-mem-car-mn1164,Lilac Homes Enh As Liv Mem Car,Dilworth,2,3
mainstreet-village-mn128,Mainstreet Village,Richfield,2,2
mangers-way-home-mn1272,Mangers Way Home,Inver Grove Heights,2,2
mckenna-crossing-mn235,Mckenna Crossing,Prior Lake,2,3
new-journey-residence-mn105,New Journey Residence,Eveleth,2,3
new-perspective-lake-elmo-mn940,New Perspective Lake Elmo,Lake Elmo,2,3
new-perspective-oakdale-mn787,New Perspective Oakdale,Oakdale,2,3
new-perspective-rosedale-mn137,New Perspective Rosedale,Roseville,2,2
new-perspective-white-bear-lak-mn902,New Perspective White Bear Lak,White Bear Lake,2,3
nine-mile-creek-senior-living-mn671,Nine Mile Creek Senior Living,Bloomington,2,2
norbella-of-rogers-mn2295,Norbella of Rogers,Rogers,2,2
norbella-senior-living-savage-mn1835,Norbella Senior Living Savage,Savage,2,3
norris-square-mn256,Norris Square,Cottage Grove,2,3
northern-pines-assisted-living-mn468,Northern Pines Assisted Living,Pine City,2,3
oak-meadows-senior-living-mn77,Oak Meadows Senior Living,Oakdale,2,3
okalee-of-medina-mn1338,Okalee of Medina,Medina,2,2
park-view-assisted-living-mn616,Park View Assisted Living,Buffalo,2,2
pelican-landing-senior-living-mn1208,Pelican Landing Senior Living,Detroit Lakes,2,3
praha-village-mn1109,Praha Village,New Prague,2,3
prairie-cottages-of-albert-lea-mn420,Prairie Cottages of Albert Lea,Albert Lea,2,3
prairie-cottages-of-owatonna-mn611,Prairie Cottages of Owatonna,Owatonna,2,3
prairie-senior-cottages-of-hut-mn744,Prairie Senior Cottages of Hut,Hutchinson,2,2
prairie-view-mn451,Prairie View,Hector,2,2
progressive-care-llc-mn380,Progressive Care Llc,Glencoe,2,3
rakhma-grace-home-mn13,Rakhma Grace Home,Minnetonka,2,3
river-grand-senior-living-mn379,River Grand Senior Living,Grand Rapids,2,3
riverview-landing-mn1098,Riverview Landing,Otsego,2,3
scandi-haven-of-cura-mn1009,Scandi Haven of Cura,Benson,2,2
shiloh-assisted-living-mn1192,Shiloh Assisted Living,Pequot Lakes,2,3
shorewood-landing-mn942,Shorewood Landing,Shorewood,2,3
silvercreek-on-main-mn815,Silvercreek On Main,Maple Grove,2,3
silvercrest-properties-llc-mn107,Silvercrest Properties Llc,Richfield,2,3
silvercrest-properties-llc-mn160,Silvercrest Properties Llc,Eden Prairie,2,3
spirit-care-homes-mn2096,Spirit Care Homes,Minnetonka,2,2
spring-valley-estates-mn604,Spring Valley Estates,Spring Valley,2,2
sterling-pointe-senior-living-mn750,Sterling Pointe Senior Living,Princeton,2,2
stonecrest-mn237,Stonecrest,Woodbury,2,3
suite-living-of-little-canada-mn1146,Suite Living of Little Canada,Little Canada,2,3
suite-living-senior-care-of-ed-mn2272,Suite Living Senior Care of Ed,Eden Prairie,2,2
suite-living-senior-care-of-la-mn2017,Suite Living Senior Care of La,Lakeville,2,2
suite-living-senior-care-of-ma-mn2320,Suite Living Senior Care of Ma,Maple Grove,2,2
suite-living-senior-care-of-ra-mn1536,Suite Living Senior Care of Ra,Ramsey,2,4
suite-living-senior-care-of-sh-mn2074,Suite Living Senior Care of Sh,Shakopee,2,2
suite-living-senior-care-of-va-mn930,Suite Living Senior Care of Va,Vadnais Heights,2,3
summerwood-of-plymouth-mn456,Summerwood of Plymouth,Plymouth,2,2
syncare-grande-mn1023,Syncare Grande,Plymouth,2,2
syncare-joy-home-mn1735,Syncare Joy Home,Minnetonka,2,2
the-encore-at-champlin-mn630,The Encore at Champlin,Champlin,2,3
the-encore-at-maplewood-mn635,The Encore at Maplewood,Maplewood,2,2
the-encore-at-north-branch-mn629,The Encore at North Branch,North Branch,2,3
the-farmstead-mn86,The Farmstead,Andover,2,2
the-hummingbird-mn703,The Hummingbird,Meadowlands,2,3
the-legacy-of-farmington-mn933,The Legacy of Farmington,Farmington,2,3
the-legacy-of-st-michael-mn390,The Legacy of St Michael,St. Michael,2,3
the-meadows-senior-living-mn2133,The Meadows Senior Living,Savage,2,2
the-pillars-of-hermantown-mn2292,The Pillars of Hermantown,Hermantown,2,2
the-waters-of-eden-prairie-mn757,The Waters of Eden Prairie,Eden Prairie,2,4
the-waters-of-excelsior-mn1058,The Waters of Excelsior,Excelsior,2,2
the-waters-of-kingsley-shores-mn409,The Waters of Kingsley Shores,Lakeville,2,3
the-waters-on-50th-mn461,The Waters On 50th,Minneapolis,2,3
thorne-crest-retirement-center-mn526,Thorne Crest Retirement Center,Albert Lea,2,3
timber-hills-mn161,Timber Hills,Inver Grove Heights,2,2
towerlight-on-wooddale-avenue-mn371,Towerlight On Wooddale Avenue,St. Louis Park,2,2
traditions-of-montgomery-llc-mn705,Traditions of Montgomery Llc,Montgomery,2,3
traditions-of-waterville-mn637,Traditions of Waterville,Waterville,2,2
trails-of-orono-senior-living-mn365,Trails of Orono Senior Living,Orono,2,2
trouvaille-memory-care-suites-mn416,Trouvaille Memory Care Suites,Excelsior,2,2
valley-assisted-living-mn446,Valley Assisted Living,Thief River Falls,2,3
valora-senior-living-of-orono-mn1582,Valora Senior Living of Orono,Orono,2,3
vernon-terrace-of-edina-mn343,Vernon Terrace of Edina,Edina,2,3
villages-of-lonsdale-mn297,Villages of Lonsdale,Lonsdale,2,3
virginia-carefree-living-by-mn906,Virginia Carefree Living by,Virginia,2,3
vista-prairie-at-copperleaf-ll-mn277,Vista Prairie at Copperleaf Ll,Willmar,2,3
vista-prairie-at-garnette-gard-mn511,Vista Prairie at Garnette Gard,Redwood Falls,2,4
vitacare-living-mn354,Vitacare Living,Isle,2,3
vitacare-living-mn290,Vitacare Living,Mora,2,3
vitality-living-of-upsala-llc-mn1971,Vitality Living of Upsala Llc,Upsala,2,2
walker-methodist-care-suites-mn74,Walker Methodist Care Suites,Edina,2,3
walker-methodist-westwood-ii-mn377,Walker Methodist Westwood Ii,West St. Paul,2,2
westwood-of-duluth-mn768,Westwood of Duluth,Duluth,2,3
westwood-place-inc-mn489,Westwood Place Inc,Watertown,2,2
willows-bend-mn1962,Willows Bend,Fridley,2,2
willows-of-arbor-lakes-mn962,Willows of Arbor Lakes,Maple Grove,2,3
windy-acres-long-term-care-inc-mn582,Windy Acres Long Term Care Inc,Forest Lake,2,3
woodcrest-assisted-living-mn687,Woodcrest Assisted Living,Alexandria,2,3
woodcrest-of-country-manor-mn955,Woodcrest of Country Manor,St. Joseph,2,3
woodstone-senior-living-mn430,Woodstone Senior Living,Hutchinson,2,3
woodstone-senior-living-mn431,Woodstone Senior Living,New Ulm,2,3
yorkshire-of-edina-senior-lvg-mn878,Yorkshire of Edina Senior Lvg,Edina,2,3
abiitan-mill-city-mn895,Abiitan Mill City,Minneapolis,3,3
abilit-holdings-meadow-lakes-l-mn120,Abilit Holdings Meadow Lakes L,Rochester,3,3
amira-choice-bloomington-mn1637,Amira Choice Bloomington,Bloomington,3,3
amira-choice-minnetonka-mn941,Amira Choice Minnetonka,Minnetonka,3,4
apple-valley-villa-mn632,Apple Valley Villa,Apple Valley,3,3
aurora-on-france-senior-living-mn893,Aurora On France Senior Living,Edina,3,3
bayside-manor-assisted-living-mn164,Bayside Manor Assisted Living,Gaylord,3,4
beehive-homes-of-duluth-mn798,Beehive Homes of Duluth,Duluth,3,4
benedict-homes-mn48,Benedict Homes,St. Cloud,3,3
benedictine-living-community-mn856,Benedictine Living Community |,Byron,3,3
benedictine-living-community-mn50,Benedictine Living Community |,Red Wing,3,3
bridgewell-assisted-living-mn268,Bridgewell Assisted Living,Osakis,3,4
brookside-senior-living-mn154,Brookside Senior Living,Montevideo,3,4
cannon-falls-assisted-living-mn296,Cannon Falls Assisted Living,Cannon Falls,3,3
cardigan-ridge-senior-living-mn909,Cardigan Ridge Senior Living,Little Canada,3,3
carver-ridge-senior-living-mn1322,Carver Ridge Senior Living,Carver,3,3
claddagh-senior-living-mn965,Claddagh Senior Living,Caledonia,3,4
cornerstone-residence-of-fosst-mn504,Cornerstone Residence of Fosst,Fosston,3,4
croixdale-mn794,Croixdale,Bayport,3,4
deer-crest-senior-living-mn651,Deer Crest Senior Living,Red Wing,3,3
dellwood-gardens-mn434,Dellwood Gardens,St. Paul,3,3
eaglecrest-mn200,Eaglecrest,Roseville,3,3
ecumen-detroit-lakes-the-cotta-mn272,Ecumen Detroit Lakes the Cotta,Detroit Lakes,3,4
ecumen-hutchinson-the-pines-mn193,Ecumen Hutchinson the Pines,Hutchinson,3,3
eden-prairie-senior-living-llc-mn1206,Eden Prairie Senior Living Llc,Eden Prairie,3,3
edgewood-hermantown-i-sr-lvg-mn766,Edgewood Hermantown I Sr Lvg,Hermantown,3,3
elder-homestead-mn14,Elder Homestead,Minnetonka,3,4
elysian-senior-homes-of-lake-c-mn826,Elysian Senior Homes of Lake C,Lake City,3,3
emerald-crest-of-burnsville-mn121,Emerald Crest of Burnsville,Burnsville,3,4
flagstone-mn127,Flagstone,Eden Prairie,3,3
fridley-assisted-living-llc-mn331,Fridley Assisted Living Llc,Fridley,3,4
golden-horizons-mn639,Golden Horizons,Crosslake,3,4
harbor-crossing-mn905,Harbor Crossing,White Bear Lake,3,4
harmony-place-mn139,Harmony Place,Harmony,3,4
harrison-bay-senior-living-mn1059,Harrison Bay Senior Living,Mound,3,4
haven-homes-assisted-living-mn1739,Haven Homes Assisted Living,Maple Plain,3,3
havenwood-of-burnsville-mn1360,Havenwood of Burnsville,Burnsville,3,4
hawley-senior-living-mn550,Hawley Senior Living,Hawley,3,5
hayden-grove-senior-living-mn1641,Hayden Grove Senior Living,Bloomington,3,4
heritage-haven-inc-mn245,Heritage Haven Inc,Duluth,3,3
heritage-pointe-senior-living-mn406,Heritage Pointe Senior Living,Marshall,3,4
highland-senior-living-of-litt-mn713,Highland Senior Living of Litt,Little Falls,3,3
inver-glen-senior-living-mn655,Inver Glen Senior Living,Inver Grove Heights,3,3
inver-grove-heights-wp-ii-llc-mn315,Inver Grove Heights Wp Ii Llc,Inver Grove Heights,3,3
iris-park-commons-mn176,Iris Park Commons,St. Paul,3,3
levande-mn959,Levande,Cambridge,3,3
lilac-homes-assisted-living-mn383,Lilac Homes Assisted Living,Moorhead,3,4
madonna-towers-of-rochester-mn33,Madonna Towers of Rochester,Rochester,3,3
majestic-pines-mn780,Majestic Pines,Grand Rapids,3,4
maple-care-homes-mn653,Maple Care Homes,Apple Valley,3,4
marvella-mn2044,Marvella,St Paul,3,3
meadow-woods-assisted-living-mn42,Meadow Woods Assisted Living,Bloomington,3,4
mill-city-senior-living-mn1081,Mill City Senior Living,Faribault,3,4
new-perspective-minnetonka-mn198,New Perspective Minnetonka,Minnetonka,3,3
new-perspective-prior-lake-mn163,New Perspective Prior Lake,Prior Lake,3,3
new-perspective-woodbury-mn818,New Perspective Woodbury,Woodbury,3,5
norbella-senior-living-prior-l-mn1743,Norbella Senior Living Prior L,Prior Lake,3,3
oak-park-place-of-albert-lea-mn693,Oak Park Place of Albert Lea,Albert Lea,3,4
