slug,name,city,recent_3y,total_inspections
oak-ridge-assisted-living-of-h-mn720,Oak Ridge Assisted Living of H,Hastings,3,3
oak-terrace-senior-housing-of-mn870,Oak Terrace Senior Housing of,Le Sueur,3,4
open-arms-senior-living-mn1924,Open Arms Senior Living,Rice Lake,3,3
pathstone-crossing-mn532,Pathstone Crossing,Mankato,3,4
pearl-garden-mn76,Pearl Garden,Minneapolis,3,3
plaza-gardens-mn853,Plaza Gardens,Anoka,3,4
prairie-senior-cottages-of-new-mn628,Prairie Senior Cottages of New,New Richland,3,4
presbyterian-homes-of-blooming-mn202,Presbyterian Homes of Blooming,Bloomington,3,3
silvercrest-properties-llc-mn36,Silvercrest Properties Llc,New Brighton,3,3
silvercrest-properties-llc-mn72,Silvercrest Properties Llc,St. Louis Park,3,4
sugar-loaf-senior-living-mn376,Sugar Loaf Senior Living,Winona,3,4
suite-living-of-north-st-paul-mn1279,Suite Living of North St Paul,North St. Paul,3,4
suite-living-senior-care-mn1984,Suite Living Senior Care,Prior Lake,3,3
suite-living-senior-care-mn2032,Suite Living Senior Care,Spring Lake Park,3,3
suite-living-senior-care-mn1902,Suite Living Senior Care,Burnsville,3,4
suite-living-senior-care-of-cr-mn1950,Suite Living Senior Care of Cr,Crystal,3,3
suite-living-sr-of-igh-mn1537,Suite Living Sr of Igh,Inver Grove Heights,3,3
sunrise-view-assisted-living-mn851,Sunrise View Assisted Living,Adrian,3,4
the-centennial-house-of-apple-mn53,The Centennial House of Apple,Apple Valley,3,4
the-commons-on-marice-mn721,The Commons On Marice,Eagan,3,4
the-encore-at-hugo-mn503,The Encore at Hugo,Hugo,3,4
the-gardens-at-winsted-al-mn335,The Gardens at Winsted Al,Winsted,3,3
the-glenn-minnetonka-mn346,The Glenn Minnetonka,Minnetonka,3,4
the-harbor-at-peace-village-mn360,The Harbor at Peace Village,Norwood Youngamerica,3,3
the-homestead-at-anoka-mn427,The Homestead at Anoka,Anoka,3,4
the-landmark-of-fridley-mn375,The Landmark of Fridley,Fridley,3,4
the-lodge-mn1207,The Lodge,Stillwater,3,3
the-meadows-of-wadena-mn938,The Meadows of Wadena,Wadena,3,4
the-moments-of-lakeville-mn968,The Moments of Lakeville,Lakeville,3,3
the-pillars-of-grand-rapids-mn1900,The Pillars of Grand Rapids,Grand Rapids,3,3
the-prairie-lodge-at-earle-bro-mn52,The Prairie Lodge at Earle Bro,Brooklyn Center,3,3
the-sanctuary-at-west-st-paul-mn880,The Sanctuary at West St Paul,West St. Paul,3,5
the-shores-of-lake-phalen-mn384,The Shores of Lake Phalen,Maplewood,3,5
the-terraces-assisted-living-mn165,The Terraces Assisted Living,Hopkins,3,4
the-waters-of-highland-park-mn831,The Waters of Highland Park,St. Paul,3,4
the-waters-of-plymouth-mn414,The Waters of Plymouth,Plymouth,3,4
trinity-suites-mn368,Trinity Suites,Farmington,3,4
vista-prairie-at-goldfinch-est-mn516,Vista Prairie at Goldfinch Est,Fairmont,3,3
vivie-senior-living-of-nf-mn12,Vivie Senior Living of Nf,Northfield,3,4
walker-methodist-river-heights-mn143,Walker Methodist River Heights,South St. Paul,3,4
west-saint-paul-opco-llc-mn675,West Saint Paul Opco Llc,West St. Paul,3,4
woodbury-estates-mn88,Woodbury Estates,Woodbury,3,4
woodlake-residences-mn22,Woodlake Residences,New Hope,3,3
