name,city,county,county_median_price,severity_index,beds,operator_name
Pleasant Hill Villa Home Care,Pleasant Hill,Contra Costa,6800,5.0,6,Pleasant Hill Villa Home Care
Abigail's Guest Home,Pleasanton,Contra Costa,6800,5.0,6,"Jaakk, Inc."
Sunvalley Residential Care Home,Pleasant Hill,Contra Costa,6800,5.0,6,"Sunvalley Residential Care Home, Inc."
Valle Verde Care Home Iii,Pleasanton,Contra Costa,6800,4.666666666666667,6,Jgv Group. Inc.
Ava Bella Care Home,Union City,Contra Costa,6800,4.5,6,Avabella Care Home Llc
Angel Comfort Care 2,Anaheim,Riverside,5200,4.333333333333333,6,Angel Comfort Care Inc
Royal Colony View Place,Hayward,Contra Costa,6800,4.25,8,"Royal Colony View Place, Llc"
Care Celine,Anaheim,Riverside,5200,4.166666666666667,6,Celaron Manors Llc
Abigail's Guest Home,San Ramon,Contra Costa,6800,4.0,6,"Jaakk, Inc."
Amistad Assisted Living and Memory Care Home,Corona,Riverside,5200,4.0,6,Perpetual Inspirations
Olympic Residential Care Home,Martinez,Contra Costa,6800,4.0,6,"Gozun, Conchita Q."
Gonzales Home,San Francisco,San Francisco,8200,4.0,6,"Gonzales, Rogelio & Prosperidad"
Casa Pastel Care Home,Mountain View,San Francisco,8200,4.0,6,"Zhao, Ping Jing"
Hidden Lane Villa,Los Altos,San Francisco,8200,4.0,6,"Carr, Theresa"
Heavenly Care Home,Newark,Contra Costa,6800,3.6666666666666665,6,Heavenly Care Home Llc
Sandhill Assisted Living Llc,Menlo Park,San Francisco,8200,3.6666666666666665,6,Sandhill Assisted Living Llc
Sweet Care Home in Gilroy,Gilroy,Santa Clara,7500,3.5,6,Sweet Care Llc
Portola Place,San Mateo,San Mateo,7800,3.5,6,"Atienza, Armand"
Pacaldo Llc,San Bruno,San Francisco,8200,3.5,6,Pacaldo Llc
Peninsula Village,San Mateo,San Mateo,7800,3.3333333333333335,6,"S.f. Sun Care Group, Llc"
"Oakley Assisted Living Ii , Llc",Oakley,Contra Costa,6800,3.1666666666666665,6,Oakley Assisted Living Ii Llc
Victoria Hills Assisted Living and Memory Care,Riverside,Orange,6000,3.0,6,Alara Health Services Inc.
Lafayette Gardens,Lafayette,Contra Costa,6800,3.0,6,Saxena Family Llc
Kennedy Guest Home,Livermore,Contra Costa,6800,3.0,6,"Kennedy Guest Home, Llc"
Continuance Care Home Llc,Hayward,Contra Costa,6800,3.0,16,Continuance Care Home Llc
Muriel's Residential Facility Ii,Fremont,Contra Costa,6800,2.8333333333333335,6,Irene & Arthur Jenkins
Emerald Home Care,Dublin,Contra Costa,6800,2.8333333333333335,6,Emerald Home Care
Stonehedge Guest Home,Pleasant Hill,Contra Costa,6800,2.8333333333333335,6,Stonehedge Llc
B. Ruiz Carehome 2,Oakley,Contra Costa,6800,2.8333333333333335,6,B Ruiz Care Home Inc
Olivia's Care Home Ii,San Mateo,San Mateo,7800,2.8333333333333335,6,Primecare Llc
"Dysico Care Home, Rcfe",Pleasant Hill,Contra Costa,6800,2.5,6,"Dysico Care Home, Inc"
Granny's Loving Angels Llc,Danville,Contra Costa,6800,2.5,6,Granny's Loving Angels Llc
Hearts at Millwood Assisted Living,Millbrae,San Francisco,8200,2.5,6,Hearts at Millwood Rcfe Inc
Assisted Living and Memory Care by Inspirations,Corona,Riverside,5200,2.3333333333333335,6,Our Holy Mother Assisted Living Community Inc
Ramona Care Home,Pleasant Hill,Contra Costa,6800,2.3333333333333335,6,"Lingbanan, Victoria M."
Safe Haven Oakley Llc,Oakley,Contra Costa,6800,2.3333333333333335,6,Safe Haven Oakley Llc
Pleasant Hill Manor,Hayward,Contra Costa,6800,2.1666666666666665,6,Richard W. Gindlesberger
Millbrae Family Care Home,Millbrae,San Francisco,8200,2.1666666666666665,6,Josver Residential Care
"Khivi Care, Llc",Livermore,Contra Costa,6800,2.1666666666666665,6,"Khivi Care, Llc"
Ageway Boarding Care #2,San Mateo,San Mateo,7800,2.1666666666666665,6,Ageway Senior Care
Enchanted Garden for Seniors,San Mateo,San Mateo,7800,2.1666666666666665,6,"Giusto Jr., Jack & Giusto, Ferlene"
Blossom Garden Senior Home,Hayward,Contra Costa,6800,2.111111111111111,9,"Blossom Garden Senior Home, Llc"
Aegis Residential Living,Mission Viejo,Orange,6000,2.0,6,Salvador Diaz Jr
Paradise Care Home,Mountain View,San Francisco,8200,2.0,6,"Zhao, Ping Jing"
Santa Barbara Memory Care,Santa Barbara,Santa Barbara,6300,1.9722222222222223,36,"Pac Coast Inc,gp of Pac Coast Lp;santa Barbara Mgr"
Milan Villa Senior Living,Livermore,Contra Costa,6800,1.875,24,"La Jolla Cove Holdings, Llc"
Hennelly House,San Mateo,San Mateo,7800,1.6666666666666667,6,"Stefanac, Suzi"
Chateau Sabelle,San Mateo,San Mateo,7800,1.6666666666666667,6,"Castle, Nancy"
Divine Grace Villa,Anaheim,Riverside,5200,1.6666666666666667,6,"Divine Grace Villa, Inc."
Caringbridge Inc.,Anaheim,Riverside,5200,1.6666666666666667,6,Caringbridge Inc.
April Garden Villa of Saratoga,Saratoga,Santa Clara,7500,1.6,5,"De la Fuente, Valentin"
Navajo Care Home,Alamo,Contra Costa,6800,1.5,6,Bethel Care Inc
A New Haven Care Home - Hampton,Livermore,Contra Costa,6800,1.5,6,"Soleta Holdings, Inc."
Janet's Residential Facility for the Elderly,San Francisco,San Francisco,8200,1.5,8,"Spires, Janet"
Unity Memory Home Care,Antelope,Sacramento,5400,1.5,6,Unity Memory Care Inc
"Ark, the",Redwood City,San Francisco,8200,1.5,6,Caring Hearts Senior Living Llc
Rosegate,San Leandro,Contra Costa,6800,1.475,40,"Kati Knox & Associates, Inc.;rosemont Gardens,inc."
Better Living Care Home,Pleasant Hill,Contra Costa,6800,1.375,8,"Bl Homes, Inc."
Francel Guest Home Ii,Anaheim,Riverside,5200,1.3571428571428572,14,"Francel Guest Home, Inc."
Family Connect Memory Care Inc,Torrance,Los Angeles,5800,1.3333333333333333,6,Family Connect Memory Care Inc
Villa Vittoria,Martinez,Contra Costa,6800,1.3333333333333333,6,"Baiocchi, Vickie"
Cayco's Care Home,San Francisco,San Francisco,8200,1.3333333333333333,6,Maribel G Cayco
Eden Assisted Living,Castro Valley,Contra Costa,6800,1.3333333333333333,6,Special Request Llc
Citrus Gardens,Hemet,Orange,6000,1.2363636363636363,55,Citrus Gardens Leasing Llc
"D'nalor Care Homes, Llc",Oakland,Alameda,7200,1.1666666666666667,6,"D'nalor Care Homes, Llc"
San Mateo Villa,San Mateo,San Mateo,7800,1.1666666666666667,6,"Viducich, Elizabeth & Loncar, Violet"
Heritage Place,San Mateo,San Mateo,7800,1.1666666666666667,12,"Heritage Residential Care, Inc.; Almacare Inc"
La Posada,Whittier,Los Angeles,5800,1.0789473684210527,114,Posada Sl Llc
Scott Villa,Hayward,Contra Costa,6800,1.0571428571428572,35,Scott Villas Corporation
Burlingame Senior Living,Burlingame,San Francisco,8200,1.0222222222222221,90,Pacifica Burlingame Lp;burlingame Mgr Llc
Pleasant Hill Oasis,Pleasant Hill,Contra Costa,6800,1.0204081632653061,49,Ph Senior Care Llc; Northstar Senior Living Inc
Seabright Assisted Living and Memory Care,Solana Beach,San Diego,6200,1.0,6,Alara Health Services Inc
Lily & Rose Senior Living Inc,Altadena,Los Angeles,5800,1.0,6,Lily & Rose Senior Living Inc
Britannia Place,Redwood City,San Francisco,8200,1.0,6,"Williams, Delphine Ellen"
Arlington Heights Assisted Living and Memory Care,Riverside,Orange,6000,1.0,6,Alara Health Services Inc
Penny's Guest Home,San Ramon,Contra Costa,6800,1.0,6,"Penny's Guest Home, Llc"
"Golden Hill Homes, Inc.",San Ramon,Contra Costa,6800,1.0,6,"Golden Hill Homes, Inc."
Regency Palms Long Beach,Long Beach,Los Angeles,5800,1.0,91,"Global Regency Snr Care Svcs,llc"
Bentley Suites,Santa Monica,Los Angeles,5800,0.9545454545454546,44,Specialized Community Healthcare Company
Bella Vista,Hayward,Contra Costa,6800,0.9523809523809523,42,"Ark Angel Ii, Llc"
"Cottages at Artesia Anaheim, the",Anaheim,Riverside,5200,0.868421052631579,38,"Cottages at Artesia Llc, the"
Eaton Place,Alamo,Contra Costa,6800,0.8333333333333334,6,"Bl Homes, Inc."
Damenik's Home,San Francisco,San Francisco,8200,0.8333333333333334,12,"Damenik's Home, Inc. Dba Damenik's Home"
South Bay Memory Care,Torrance,Los Angeles,5800,0.8333333333333334,6,South Bay Memory Care Inc
Lincoln Villa,Fremont,Contra Costa,6800,0.8157894736842105,76,"Lincoln Retirement Villa, Llc"
Avenir Memory Care Westside,Los Angeles,Los Angeles,5800,0.8068181818181818,88,"Amcla Gp Inc. ; Avenir Senior Living, Llc"
Princess Lodge,Campbell,Santa Clara,7500,0.8,30,"Morales,james & Judith"
Tuscany Villa Senior Living,Livermore,Contra Costa,6800,0.7419354838709677,31,"Kenai River Holdings, Llc"
Oak Cottage of Santa Barbara Memory Care,Santa Barbara,Santa Barbara,6300,0.72,50,Oak Cottage Operator Nt Hci Llc; Integral Sl Mgmt
Brittany House,Long Beach,Los Angeles,5800,0.711764705882353,170,Brittany Healthcare Llc
Lafayette Heights Res. Care,Lafayette,Contra Costa,6800,0.6666666666666666,6,"Mogadam, Joanne A."
Bed of Roses Residential Care Home,Campbell,Santa Clara,7500,0.6666666666666666,6,"Williams, Maria Christina"
Elegance Berkeley,Berkeley,Alameda,7200,0.65,120,"Berkely Ca Operator, Llc;elegance Living,llc"
Newport Beach Memory Care,Newport Beach,Orange,6000,0.6428571428571429,42,"Corktree Holdings, Llc"
Brookdale Danville,Danville,Contra Costa,6800,0.6428571428571429,42,Summerville at Barrington Court; Emeritus Corp
Diana's Care Home,Hayward,Contra Costa,6800,0.6285714285714286,35,Scott Villas Corporation;diana's Care Home
San Leandro Senior Living,San Leandro,Contra Costa,6800,0.6222222222222222,90,P San Leandro Lp; San Leandro Mgr Llc
Pacifica Senior Living Union City,Union City,Contra Costa,6800,0.6181818181818182,110,Pacifica Union City Llc; Union City Mgr Llc
Newport Mesa Senior Living,Costa Mesa,Orange,6000,0.6,40,Pacifica Newport Mesa Llc; Newport Mesa Mgr Llc
"Gardens at Laguna Springs Memory Care, the",Elk Grove,Sacramento,5400,0.6,70,"Elk Grove Memory Care, Llc"
Country Rose Estate Memory Care,San Marcos,San Diego,6200,0.6,15,"Paraiso, Catherine T"
Beach Terrace Assisted Living and Memory Care,Stanton,Los Angeles,5800,0.5833333333333334,120,"Sal Asset Mgmt, Llc; Klmh Enterprises, Llc"
Bonita Villa Senior Living,Chula Vista,San Diego,6200,0.5724137931034483,145,Pacfica Sl Ca Llc;pacifica Bonita Lp; Bonita Mgr
"Bethany Home Senior Living, Llc",Livermore,Contra Costa,6800,0.5689655172413793,58,"Bethany Homes Senior Living, Llc"
Astoria Park Senior Living,Pasadena,Los Angeles,5800,0.5454545454545454,220,Astoria Park Senior Living Llc
Marymount Villa Retirement Center,San Leandro,Contra Costa,6800,0.5454545454545454,99,"Marymount Villa, Llc"
Eskaton Gold River Lodge,Gold River,Sacramento,5400,0.5447761194029851,134,Eskaton
Golden Pond Retirement Community,Sacramento,Sacramento,5400,0.5257142857142857,175,"Walgenbach, Brian & Gill, Doug"
Whitten Heights Assisted Living and Memory Care,La Habra,Los Angeles,5800,0.5255102040816326,196,Whitten Llc
Aegis Living Corte Madera,Corte Madera,Marin,7600,0.5066666666666667,150,Bmsh Ii Corte Madera Ca; Aegis Senior Communities
Dimond Care,Oakland,Alameda,7200,0.5,30,"Dimond Care, Llc"
Sunrise Care Home,San Lorenzo,Contra Costa,6800,0.5,6,"Tayag, Nancy"
Desert Hills Memory Care Center,Hemet,Orange,6000,0.5,58,Cascade Lvg Grp Hemet; Kre Tiger Desert Hills Op
A Silver Amore Senior Home,Eastvale,Riverside,5200,0.5,6,"Blind Moose, Llc"
Valle Verde Care Home Iv,Pleasanton,Contra Costa,6800,0.5,6,"Jgv Group, Inc"
Sakura Gardens at los Angeles,Los Angeles,Los Angeles,5800,0.4972677595628415,183,Pacifica Sl Boyle Llc; Northstar Senior Living Inc
Silverado Senior Living - the Huntington,Alhambra,Los Angeles,5800,0.4838709677419355,62,Subtenant 1118 N Stoneman; Silverado Sr Lvg Mgt
Ivy Park at Hayward,Hayward,Contra Costa,6800,0.4764705882352941,170,Hayward Sr. Hsng. I Opco Llc;oakmont Mgmt Grp Llc
Avantgarde Senior Living of la Jolla,La Jolla,San Diego,6200,0.4666666666666667,45,Avantgarde Senior Living of la Jolla
Pico de Loro,Perris,Orange,6000,0.4444444444444444,45,"Pico de Loro, Inc."
Meadowbrook at Agoura Hills,Agoura Hills,Los Angeles,5800,0.43783783783783786,185,"Arhc Mbaghca01 Trs; Slh Agoura Hills Manager, Llc"
Ivy Park at Laguna Creek,Elk Grove,Sacramento,5400,0.4351851851851852,108,"S-h Opco Laguna Creek, Llc; Oakmont Mgmt. Grp. Llc"
Avantgarde Senior Living of Tarzana,Tarzana,Los Angeles,5800,0.43478260869565216,138,Avantgarde Senior Living
"Terraces at Via Verde-a Memory Care Community, the",San Dimas,Los Angeles,5800,0.43333333333333335,60,"Adp of San Dimas, Llc; Agemark Management Llc"
Hollywood Hills Senior Living,Los Angeles,Los Angeles,5800,0.425,120,Pacifica Hollywood Llc; Hollywood Mgr Llc
"Watermark at San Ramon, the",San Ramon,Contra Costa,6800,0.4105263157894737,95,San Ramon Sr Hsg Llc;integral Sr Living Mgmt Llc
Caleo Bay Alzheimer's Special Care Center,La Quinta,Riverside,5200,0.3939393939393939,66,"Westbrook Mgmt, Llc; Laquinta Investors Lp"
Silverado Senior Living - Calabasas,Calabasas,Los Angeles,5800,0.39090909090909093,110,Subtenant 25100 Calabasas Rd; Silverado Sr Lvg Mgt
Pacifica Senior Living South Coast,Costa Mesa,Orange,6000,0.3877551020408163,98,Pacifica Orange County Llc; Costa Mesa Operations
Aegis Assisted Living of Carmichael,Carmichael,Sacramento,5400,0.37777777777777777,90,Aegis Senior Communities Llc
Fremont Village,Fremont,Contra Costa,6800,0.375,120,Premier Senior Care Group Corporation
"Havens at Antelope Valley Assisted Living, the",Lancaster,Kern,4500,0.34782608695652173,115,Welltower Pegasus Tenant Llc; Psl Associates Llc
Aegis Assisted Living of Napa,Napa,Contra Costa,6800,0.3392857142857143,56,"Aegis Senior Communities, Llc"
Westwind Memory Care,Santa Cruz,Santa Clara,7500,0.3389830508474576,59,Seasons Mgt; Sm Santa Cruz Memory; Amv Capital Grp
"Oaks at Nipomo, the",Nipomo,San Luis Obispo,5900,0.3360655737704918,122,"Nipomo Oaks,gp of Nipomo Oaks Ops Lp;westmont Lvng"
Roias Home for the Elderly,San Mateo,San Mateo,7800,0.3333333333333333,6,"Roias, Michelle"
Memory Care of Contra Costa,Pleasant Hill,Contra Costa,6800,0.3333333333333333,75,"Carlton Senior Living, Llc"
Brookdale Corona,Corona,Riverside,5200,0.3333333333333333,60,Emeritus Corporation
Roseville Senior Living,Roseville,Sacramento,5400,0.3333333333333333,6,"Sungarden Villa, Inc."
Mina's Elderly Carehome 2,Los Gatos,Santa Clara,7500,0.3333333333333333,6,"Mina's Elderly Carehome 3, Llc"
Canyon Crest Assisted Living and Memory Care,Riverside,Orange,6000,0.3333333333333333,6,Alara Health Services Inc
Autumn Glow,San Francisco,San Francisco,8200,0.3333333333333333,15,"Autumn Glow Alzheimer's Home, Inc."
Willow View Gardens Memory Care & Assisted Living,Santa Ana,Orange,6000,0.33076923076923076,130,All Health Holdings Corp
Cottages at Hemet,Hemet,Orange,6000,0.32727272727272727,110,Pacifica Sl Hemet Llc;hemet Mgr Llc
Emerald Valley,Dublin,Contra Costa,6800,0.325,80,"Amador Valley 1, Llc;msl Community Mgmt Llc"
Oakland Heights Senior Living,Oakland,Alameda,7200,0.3248730964467005,197,Pacifica Oakland Llc & Lp; Oakland Mgr Llc
Sun City Gardens,Sun City,Orange,6000,0.3108108108108108,74,Bradley Road Holdings Llc;ca Sr. Lvng. Mgmt. Llc
Carefield Pleasanton,Pleasanton,Contra Costa,6800,0.3048780487804878,82,"Sh 10 Pleasanton Opco, Llc ; Crfld Management, Llc"
Bethany Homes Senior Living Ii,Livermore,Contra Costa,6800,0.3,20,Bethany Home 3234 Llc
Kimochi Home,San Francisco,San Francisco,8200,0.3,20,"Kimochi, Inc."
"Gardens at Park Balboa, the",Van Nuys,Los Angeles,5800,0.3,120,"Park Balboa, Lp, Garrett Loube, Managing Partner"
"Pavilion at el Dorado Hills, the",El Dorado Hills,Sacramento,5400,0.296875,64,El Dorado Hills Memory Care; Mosaic Management Inc
Brookdale Folsom,Folsom,Sacramento,5400,0.2923076923076923,130,Emeritus Corporation
Creston Village Assisted Living and Memory Care,Paso Robles,San Luis Obispo,5900,0.2923076923076923,130,Welltower Pegasus Tenant Llc; Psl Associates Llc
Silverado Senior Living-berkeley,Berkeley,Alameda,7200,0.28888888888888886,90,Silverado Berkeley Llc; Silverado Sr Lvng Mgmt Inc
Bellamar Lancaster,Lancaster,Kern,4500,0.27941176470588236,68,"Lancaster Ventures, Llc; Integral Senior Liv Mgmt"
