month,total_deficiencies,serious,avg_severity
1,494,196,2.4008097165991904
2,449,178,2.420935412026726
3,602,239,2.4069767441860463
4,593,227,2.4013490725126476
5,599,236,2.4056761268781304
6,576,207,2.375
7,577,237,2.419410745233969
8,692,296,2.44364161849711
9,626,265,2.439297124600639
10,632,261,2.435126582278481
11,593,243,2.4232715008431702
12,585,230,2.405128205128205
